(R)-alpha-methylhistamine | Chemical
T-cell lymphoblastic leukaemia and lymphoma	Disease | D015458|D016399
TAA | Disease
TAC | Chemical
tachyarrhythmia | Disease
tachyarrhythmias | Disease
tachycardia | Disease
tacrolimus | Chemical
talipes equinovarus | Disease
TAM | Chemical
tAMCA | Chemical
tamoxifen | Chemical
tardive dyskinesia | Disease
tardive dystonia | Disease
tariquidar | Chemical
Taxol | Chemical
Tc99m-Sestamibi | Chemical
TCR | Chemical
TD | Disease
TDFS | Disease
TdP | Disease
telangiectasis | Disease
telithromycin | Chemical
temazepam | Chemical
temporal lobe epilepsy | Disease
temporomandibular disorders | Disease
tender joints | Disease
tenderness | Disease
tenofovir | Chemical
terbutaline | Chemical
terfenadine | Chemical
terodiline | Chemical
testosterone	Chemical | D013739
testosterone | Chemical
testosterone heptylate | Chemical
TET | Chemical
tetanic | Disease
tetanus | Disease
tetany | Disease
tetrahydropyranyladriamycinol | Chemical
tetrandrine | Chemical
TG | Disease
thalassemic | Disease
thalidomide | Chemical
thallium | Chemical
THC | Chemical
theophylline | Chemical
thiamine | Chemical
thiazide | Chemical
thienodiazepine | Chemical
thiobarbituric acid | Chemical
thiopentone | Chemical
thioperamide | Chemical
thiotepa | Chemical
thoracic aortic aneurysm | Disease
THP | Chemical
thrombi | Disease
thrombocytopenia | Disease
thromboembolic | Disease
thrombosis | Disease
thrombotic | Disease
thrombotic microangiopathy | Disease
thrombotic thrombocytopenic purpura | Disease
thrombus | Disease
thymidine | Chemical
Thyroid disorders | Disease
thyrotoxicosis | Disease
thyroxine | Chemical
ticlopidine | Chemical
timolol | Chemical
tincture of Crataegus | Chemical
tingling or burning sensations | Disease
tinnitus | Disease
tiredness | Disease
tissue damage | Disease
tissue injury | Disease
tizanidine | Chemical
TMA | Disease
TMP | Chemical
TNSs | Disease
tobramycin | Chemical
tobramycin sulfate | Chemical
tocopherols | Chemical
tonic-clonic seizures | Disease
tooth wear | Disease
topiramate | Chemical
torsades de pointes | Disease
toxic hepatitis | Disease
toxic neurodegenerative cascade | Disease
toxic neuropathy | Disease
toxic to the central nervous system | Disease
toxicities | Disease
toxicity | Disease
tranexamic acid | Chemical
transient hemiparesis | Disease
transient neurologic symptoms | Disease
transplant glomerulopathy | Disease
transverse limb deficiency | Disease
trauma | Disease
traumatic | Disease
tremor | Disease
tremors | Disease
Trental | Chemical
TRI | Chemical
triamcinolone | Chemical
triamcinolone diacetate | Chemical
triamterene | Chemical
triazolam | Chemical
triazolo | Chemical
trifluoroacetyl | Chemical
trigeminal neuralgia | Disease
trihexyphenidyl | Chemical
trimethaphan | Chemical
trimipramine | Chemical
troleandomycin | Chemical
TRP | Chemical
tryptophan | Chemical
tuberculosis | Disease
tubular dysfunction | Disease
tubular necrosis | Disease
tumor | Disease
tumors | Disease
tumour | Disease
twitch | Disease
type II diabetes mellitus | Disease
tyrosine | Chemical
U-II | Chemical
UDCA | Chemical
ulcer | Disease
ulcerative colitis | Disease
ulcers | Disease
UM-272 | Chemical
undifferentiated carcinoma | Disease
unstable angina | Disease
upper respiratory tract infection | Disease
urate | Chemical
urea | Chemical
uremia | Disease
ureteric cancer | Disease
urethane | Chemical
uric acid salts | Chemical
uridine diphosphate | Chemical
Urinary bladder cancer | Disease
urinary bladder retention | Disease
urinary incontinence | Disease
urinary tract infection | Disease
urotensin-II | Chemical
urothelial cancer | Disease
ursodeoxycholic acid | Chemical
urticaria | Disease
urtication | Disease
valproate | Chemical
valproic acid | Chemical
valve regurgitation | Disease
Valvular heart abnormalities | Disease
valvular heart abnormality | Disease
valvular heart disease | Disease
valvular regurgitation | Disease
vancomycin | Chemical
vanishing bile duct | Disease
vanishing bile duct syndrome | Disease
variant angina | Disease
vascular dysfunctions | Disease
vasculitis | Disease
vasopressin | Chemical
vasospasm | Disease
vecuronium bromide | Chemical
venlafaxine | Chemical
veno-occlusive disease of the liver | Disease
Veno-occlusive liver disease | Disease
venous congestion | Disease
venous thromboembolism | Disease
ventricular arrhythmias | Disease
ventricular ectopic beats | Disease
ventricular fibrillation | Disease
ventricular septal (VSD) and midline (MD) defects	Disease | D006345|D009436
ventricular septal and midline defects	Disease | D006345|D009436
ventricular septal defect | Disease
Ventricular tachyarrhythmias | Disease
ventricular tachycardia | Disease
ventricular tachycardias | Disease
verapamil | Chemical
veratridine | Chemical
vertigo | Disease
vessel rupture | Disease
VFD | Disease
vigabatrin | Chemical
vinca alkaloid | Chemical
vincristin | Chemical
vincristine | Chemical
vinorelbine | Chemical
violent behavior | Disease
viral infection | Disease
viremia | Disease
Visual and auditory neurotoxicity	Disease | D014786|D006311
visual disturbance | Disease
visual field defects | Disease
visual hallucinations | Disease
visual loss | Disease
visual or auditory toxicity	Disease | D014786|D006311
Visual toxicity | Disease
vitamin B6 | Chemical
vitamin B12 | Chemical
vitamin D | Chemical
vitamin D2 | Chemical
vitamin D3 | Chemical
vitamin E | Chemical
vitamin K | Chemical
VNB | Chemical
vocal fold palsy | Disease
Voltarol | Chemical
volume retention | Disease
vomiting | Disease
VP | Chemical
VPA | Chemical
VPU | Chemical
VTE | Disease
warfarin | Chemical
weakness | Disease
weakness of extremities | Disease
Wegener's granulomatosis | Disease
weight gain | Disease
weight loss | Disease
wheezing | Disease
white matter abnormalities | Disease
white matter edema | Disease
Wilson's disease | Disease
withdrawal symptoms | Disease
Withdrawal-emergent rabbit syndrome	Disease | D013375|D001480
withdrawal-emergent RS	Disease | D013375|D001480
Wolff-Parkinson-White syndrome | Disease
WPW syndrome | Disease
WR-2721 | Chemical
WR242511 | Chemical
xanthine | Chemical
xenon | Chemical
xerostomia | Disease
Ximelagatran | Chemical
yohimbine | Chemical
ZDV | Chemical
zidovudine | Chemical
Zollinger-Ellison syndrome | Disease
zonisamide | Chemical
zopiclone | Chemical
Zyban | Chemical
